age_kyr,mean_ann_T_band_all,mean_ann_iceA_all
109,-2.58025872651823,40.6136937651031
110,-2.52590459817264,40.3934343625229
111,-2.46597372289404,40.1542664774039
112,-2.40235763429755,39.8996879231812
113,-2.33233875289184,39.62386517596
114,-2.25914021901357,39.3300282050173
115,-2.19073575344705,39.0634768794623
116,-2.12637171823001,38.8202696208945
117,-2.07612532437537,38.6276291329513
118,-2.02813255410144,38.4418611026944
119,-1.97565419891469,38.244463981369
120,-1.94031542218197,38.1191148219472
121,-1.92540744124798,38.0759418622961
122,-1.91985689895898,38.091704532962
123,-1.92130053341222,38.1325990127294
124,-1.93030776840356,38.2222163724556
125,-1.95072662028955,38.3510756865534
126,-1.94015232597388,38.3762829803292
127,-1.92540223488474,38.3507394991557
128,-1.89597480900369,38.2795199505048
129,-1.84307246471397,38.0915033404474
130,-1.79553583063474,37.9226242036583
131,-1.76909496453436,37.8340415330948
132,-1.72821746920929,37.6928886705452
133,-1.70718800272769,37.5945623640693
134,-1.69887322396558,37.5472346605737
135,-1.68199848946455,37.4502046860869
136,-1.69834825313,37.4834708044086
137,-1.71774126374344,37.5076592932934
138,-1.74486271544802,37.5630349217111
139,-1.80741826388922,37.7626222412051
140,-1.86218952984587,37.9040571606285
141,-1.93609077181407,38.1353748803642
142,-2.01765152687546,38.4044584421307
143,-2.1211930450041,38.7549508796814
144,-2.22174591560745,39.1037194755785
145,-2.33896038745431,39.5347127348748
146,-2.44250493719523,39.9209919503887
147,-2.54826603680742,40.3173430680406
148,-2.63180153524159,40.6451127732773
149,-2.69947152747352,40.9134101452714
150,-2.72628048498997,41.034567141364
151,-2.72879372772924,41.0663952503318
152,-2.69958532547724,40.9627733134243
153,-2.64934637084768,40.7999356613706
154,-2.57331535526874,40.5358029758775
155,-2.48620564230371,40.2249040525948
156,-2.39736378136327,39.8950139886939
157,-2.29033914197646,39.5112740277238
158,-2.19316012753785,39.1695783193743
159,-2.10021312953504,38.8405471518189
160,-2.01821739766092,38.5515931174717
161,-1.92625420700507,38.2261666394446
162,-1.84463357849908,37.9186451022562
163,-1.78218798699971,37.686735281559
164,-1.71075833128857,37.4132556650612
165,-1.66379140158362,37.2316312679635
166,-1.63184525891791,37.1077709737288
167,-1.61472154320959,37.0340375352996
168,-1.62985494690287,37.1013416706862
169,-1.63850905822737,37.1269226234107
170,-1.68202310505724,37.3029643357149
171,-1.74065954098544,37.5335369744655
172,-1.7983009903932,37.7510046174408
173,-1.86877189581515,38.0355132947586
174,-1.94914271377603,38.3611108793784
175,-2.02837814277894,38.6853369623012
176,-2.0817897148349,38.88954773883
177,-2.11820182979402,39.0244464622818
178,-2.14039763716633,39.1081994659457
179,-2.1624899279929,39.1848695424996
180,-2.15072008276727,39.1216644152345
181,-2.15079345557932,39.0975939089792
182,-2.13727078624055,39.0228721925747
183,-2.12563556290449,38.952318739762
184,-2.10746817993822,38.8621136775377
185,-2.10399418304009,38.8140244336511
186,-2.0977599944932,38.7548995311126
187,-2.10465009449188,38.7431707482732
188,-2.11902773754119,38.7498033895432
189,-2.1463925406434,38.8272695717114
190,-2.17206694560927,38.8862639211559
191,-2.2183562671059,39.0466193896837
192,-2.27684133916544,39.2675171695203
193,-2.36307419138984,39.6230166723529
194,-2.44097624031559,39.9510394091004
195,-2.50390861708411,40.2330683284522
196,-2.55962397270331,40.4905553935302
197,-2.57597579092461,40.602262553315
198,-2.54757153547812,40.5483395623864
199,-2.48224679361466,40.3475986898266
200,-2.38777717463341,40.0389992790555
