age_kyr,mean_ann_T_band_all,mean_ann_iceA_all
133,-1.55178111488653,36.8346770304313
134,-1.63516303329968,37.1440051004032
135,-1.74216235216874,37.5424458980539
136,-1.85607884411433,37.9774137980075
137,-1.98279812491479,38.4595306310646
138,-2.09537386547988,38.8873406689155
139,-2.19093568880368,39.2547505999117
140,-2.26857973876594,39.5242662112225
141,-2.3247081128083,39.713244741599
142,-2.35874196963955,39.8160357763859
143,-2.38632631901701,39.9004008766047
144,-2.40272161138472,39.9339626288081
145,-2.39900198449881,39.8774050377123
146,-2.39483609550242,39.8442570304793
147,-2.39582296671395,39.8168080534138
148,-2.3744502391668,39.71278671521
149,-2.36188002787932,39.6470470098233
150,-2.34192994934466,39.5610017043307
151,-2.32524978644863,39.4849169320302
152,-2.30460385090114,39.3993769343137
153,-2.28315777371749,39.316919548865
154,-2.26264194281566,39.2413655326658
155,-2.23892833708838,39.1594065295462
156,-2.22057204017025,39.105115962476
157,-2.20561549052007,39.0730880423539
158,-2.18584125344702,39.0412151908212
159,-2.17102081204065,39.0181505162036
160,-2.15322633872841,38.9884720432061
161,-2.13405117467262,38.9564120629992
162,-2.10454665135542,38.8864187850757
163,-2.08053263534938,38.8374473198812
164,-2.03922452426845,38.7014861463571
165,-1.99015914992507,38.5550329476861
166,-1.93839047224543,38.3733119201997
167,-1.89079714884457,38.2040808501834
168,-1.85236569740627,38.0857580406276
169,-1.8030268160296,37.9068110719531
170,-1.75636375765735,37.7250445249923
171,-1.72884747204343,37.622685305873
172,-1.69448290181859,37.4752919942985
173,-1.67785855915877,37.4009879413242
174,-1.67095567258718,37.3395466545986
175,-1.66518897132501,37.2839160960511
176,-1.67580415505513,37.2955747829772
177,-1.70783293253122,37.372718001711
178,-1.75585433956969,37.5280594145156
179,-1.81570063766185,37.723588988162
180,-1.8939879232658,37.9868177159767
181,-1.98200781602519,38.2909176260152
182,-2.09019243858262,38.6823703875213
183,-2.22649029740754,39.2072382771398
184,-2.3742365377864,39.7845983776653
185,-2.49260051229581,40.246297453156
186,-2.59375396363448,40.6445971081026
187,-2.66083341590532,40.8970787900395
188,-2.68664865779519,41.0096784990656
189,-2.67906340915586,40.9970135789258
190,-2.62901214833302,40.8026178757222
191,-2.5586144342891,40.5349599470768
192,-2.46347547681232,40.1556084901293
193,-2.36997222425363,39.8102961889363
194,-2.29056489853636,39.5187941237443
195,-2.20812547437401,39.2038299167716
196,-2.1178511066402,38.8595153772513
197,-2.03342273816736,38.5296334077956
198,-1.96334276353088,38.267886585212
199,-1.88973122759048,37.9747619715638
200,-1.82603822472168,37.7384251362942
